id,json_body,trade_time_int
44,"{""last"":273877,""bid"":273861,""ask"":273863,""high"":276000,""low"":263200,""volume"":""10376.64989998"",""timestamp"":1496142984}",20170530201624
45,"{""last"":273877,""bid"":273861,""ask"":273863,""high"":276000,""low"":263200,""volume"":""10376.64989998"",""timestamp"":1496142984}",20170530201634
46,"{""last"":273877,""bid"":273859,""ask"":273877,""high"":276000,""low"":263200,""volume"":""10376.80050095"",""timestamp"":1496142996}",20170530201644
47,"{""last"":273881,""bid"":273881,""ask"":273907,""high"":276000,""low"":263200,""volume"":""10378.40449548"",""timestamp"":1496143004}",20170530201654
48,"{""last"":273934,""bid"":273926,""ask"":273934,""high"":276000,""low"":263200,""volume"":""10379.66111202"",""timestamp"":1496143024}",20170530201704
49,"{""last"":273987,""bid"":273970,""ask"":274000,""high"":276000,""low"":263200,""volume"":""10380.29829747"",""timestamp"":1496143034}",20170530201714
50,"{""last"":273987,""bid"":273970,""ask"":274000,""high"":276000,""low"":263200,""volume"":""10380.29829747"",""timestamp"":1496143034}",20170530201724
51,"{""last"":274000,""bid"":273926,""ask"":273987,""high"":276000,""low"":263200,""volume"":""10383.05908378"",""timestamp"":1496143044}",20170530201734
52,"{""last"":274000,""bid"":273922,""ask"":274000,""high"":276000,""low"":263200,""volume"":""10383.58262729"",""timestamp"":1496143064}",20170530201744
53,"{""last"":274000,""bid"":273922,""ask"":274000,""high"":276000,""low"":263200,""volume"":""10383.58262729"",""timestamp"":1496143064}",20170530201754
54,"{""last"":274016,""bid"":274016,""ask"":274185,""high"":276000,""low"":263200,""volume"":""10385.4915415"",""timestamp"":1496143084}",20170530201804
55,"{""last"":274016,""bid"":274016,""ask"":274185,""high"":276000,""low"":263200,""volume"":""10385.4915415"",""timestamp"":1496143084}",20170530201815
56,"{""last"":274016,""bid"":274029,""ask"":274171,""high"":276000,""low"":263200,""volume"":""10385.27990892"",""timestamp"":1496143095}",20170530201825
57,"{""last"":274029,""bid"":274015,""ask"":274029,""high"":276000,""low"":263200,""volume"":""10383.4912125"",""timestamp"":1496143105}",20170530201835
58,"{""last"":274049,""bid"":274050,""ask"":274051,""high"":276000,""low"":263200,""volume"":""10383.74056877"",""timestamp"":1496143115}",20170530201845
59,"{""last"":274065,""bid"":274061,""ask"":274179,""high"":276000,""low"":263200,""volume"":""10383.91506877"",""timestamp"":1496143126}",20170530201855
60,"{""last"":274183,""bid"":274133,""ask"":274195,""high"":276000,""low"":263200,""volume"":""10387.26738833"",""timestamp"":1496143144}",20170530201905
61,"{""last"":274183,""bid"":274133,""ask"":274195,""high"":276000,""low"":263200,""volume"":""10387.26738833"",""timestamp"":1496143144}",20170530201915
62,"{""last"":274133,""bid"":274133,""ask"":274162,""high"":276000,""low"":263200,""volume"":""10385.72626427"",""timestamp"":1496143164}",20170530201925
63,"{""last"":274133,""bid"":274188,""ask"":274228,""high"":276000,""low"":263200,""volume"":""10386.20796427"",""timestamp"":1496143175}",20170530201935
64,"{""last"":274206,""bid"":274206,""ask"":274209,""high"":276000,""low"":263200,""volume"":""10383.5834473"",""timestamp"":1496143184}",20170530201945
65,"{""last"":274206,""bid"":274206,""ask"":274209,""high"":276000,""low"":263200,""volume"":""10383.5834473"",""timestamp"":1496143184}",20170530201955
66,"{""last"":274232,""bid"":274224,""ask"":274265,""high"":276000,""low"":263200,""volume"":""10385.8066473"",""timestamp"":1496143196}",20170530202005
67,"{""last"":274251,""bid"":274245,""ask"":274252,""high"":276000,""low"":263200,""volume"":""10385.63069553"",""timestamp"":1496143207}",20170530202015
68,"{""last"":274247,""bid"":274232,""ask"":274264,""high"":276000,""low"":263200,""volume"":""10385.75479553"",""timestamp"":1496143219}",20170530202025
69,"{""last"":274250,""bid"":274250,""ask"":274262,""high"":276000,""low"":263200,""volume"":""10385.58324553"",""timestamp"":1496143227}",20170530202035
70,"{""last"":274247,""bid"":274250,""ask"":274264,""high"":276000,""low"":263200,""volume"":""10386.55507842"",""timestamp"":1496143236}",20170530202046
71,"{""last"":274246,""bid"":274164,""ask"":274256,""high"":276000,""low"":263200,""volume"":""10386.6527436"",""timestamp"":1496143247}",20170530202056
72,"{""last"":274266,""bid"":274245,""ask"":274266,""high"":276000,""low"":263200,""volume"":""10386.58208328"",""timestamp"":1496143264}",20170530202106
73,"{""last"":274266,""bid"":274245,""ask"":274266,""high"":276000,""low"":263200,""volume"":""10386.58208328"",""timestamp"":1496143264}",20170530202116
74,"{""last"":274300,""bid"":274243,""ask"":274299,""high"":276000,""low"":263200,""volume"":""10387.45319431"",""timestamp"":1496143285}",20170530202126
75,"{""last"":274238,""bid"":274166,""ask"":274229,""high"":276000,""low"":263200,""volume"":""10386.81459861"",""timestamp"":1496143295}",20170530202136
76,"{""last"":274243,""bid"":274250,""ask"":274291,""high"":276000,""low"":263200,""volume"":""10386.47072092"",""timestamp"":1496143305}",20170530202146
77,"{""last"":274313,""bid"":274256,""ask"":274311,""high"":276000,""low"":263200,""volume"":""10387.78869258"",""timestamp"":1496143315}",20170530202156
78,"{""last"":274300,""bid"":274312,""ask"":274313,""high"":276000,""low"":263200,""volume"":""10386.96259258"",""timestamp"":1496143325}",20170530202206
79,"{""last"":274313,""bid"":274275,""ask"":274312,""high"":276000,""low"":263200,""volume"":""10386.24906719"",""timestamp"":1496143335}",20170530202216
80,"{""last"":274298,""bid"":274255,""ask"":274296,""high"":276000,""low"":263200,""volume"":""10385.64571626"",""timestamp"":1496143346}",20170530202226
81,"{""last"":274294,""bid"":274254,""ask"":274281,""high"":276000,""low"":263200,""volume"":""10381.40126856"",""timestamp"":1496143356}",20170530202237
82,"{""last"":274294,""bid"":274254,""ask"":274281,""high"":276000,""low"":263200,""volume"":""10381.40126856"",""timestamp"":1496143356}",20170530202247
83,"{""last"":274280,""bid"":274267,""ask"":274293,""high"":276000,""low"":263200,""volume"":""10380.25382887"",""timestamp"":1496143376}",20170530202257
84,"{""last"":274280,""bid"":274279,""ask"":274293,""high"":276000,""low"":263200,""volume"":""10376.86032315"",""timestamp"":1496143384}",20170530202307
85,"{""last"":274280,""bid"":274279,""ask"":274293,""high"":276000,""low"":263200,""volume"":""10376.48580315"",""timestamp"":1496143394}",20170530202317
86,"{""last"":274293,""bid"":274279,""ask"":274293,""high"":276000,""low"":263200,""volume"":""10375.40538518"",""timestamp"":1496143406}",20170530202327
87,"{""last"":274300,""bid"":274295,""ask"":274300,""high"":276000,""low"":263200,""volume"":""10369.63458729"",""timestamp"":1496143416}",20170530202337
88,"{""last"":274230,""bid"":274230,""ask"":274298,""high"":276000,""low"":263200,""volume"":""10370.57349171"",""timestamp"":1496143425}",20170530202347
89,"{""last"":274291,""bid"":274268,""ask"":274278,""high"":276000,""low"":263200,""volume"":""10368.72492533"",""timestamp"":1496143435}",20170530202357
90,"{""last"":274197,""bid"":274197,""ask"":274277,""high"":276000,""low"":263200,""volume"":""10366.39089875"",""timestamp"":1496143444}",20170530202407
91,"{""last"":274193,""bid"":273967,""ask"":274190,""high"":276000,""low"":263200,""volume"":""10362.97308935"",""timestamp"":1496143456}",20170530202417
92,"{""last"":274079,""bid"":274002,""ask"":274066,""high"":276000,""low"":263200,""volume"":""10359.13257935"",""timestamp"":1496143465}",20170530202427
93,"{""last"":274013,""bid"":274015,""ask"":274079,""high"":276000,""low"":263200,""volume"":""10357.99600015"",""timestamp"":1496143477}",20170530202437
94,"{""last"":274013,""bid"":274000,""ask"":274013,""high"":276000,""low"":263200,""volume"":""10357.84286172"",""timestamp"":1496143485}",20170530202448
95,"{""last"":274013,""bid"":273967,""ask"":274013,""high"":276000,""low"":263200,""volume"":""10358.56284548"",""timestamp"":1496143495}",20170530202458
96,"{""last"":273968,""bid"":273980,""ask"":274013,""high"":276000,""low"":263200,""volume"":""10352.18890773"",""timestamp"":1496143506}",20170530202508
97,"{""last"":273978,""bid"":273978,""ask"":273999,""high"":276000,""low"":263200,""volume"":""10351.6212413"",""timestamp"":1496143516}",20170530202518
98,"{""last"":273968,""bid"":273967,""ask"":273978,""high"":276000,""low"":263200,""volume"":""10361.3282611"",""timestamp"":1496143526}",20170530202528
99,"{""last"":273968,""bid"":273979,""ask"":274016,""high"":276000,""low"":263200,""volume"":""10362.45209947"",""timestamp"":1496143536}",20170530202538
100,"{""last"":273968,""bid"":273966,""ask"":273968,""high"":276000,""low"":263200,""volume"":""10362.50299947"",""timestamp"":1496143546}",20170530202548
101,"{""last"":273966,""bid"":273966,""ask"":273968,""high"":276000,""low"":263200,""volume"":""10362.32259947"",""timestamp"":1496143557}",20170530202558
102,"{""last"":273966,""bid"":273965,""ask"":273966,""high"":276000,""low"":263200,""volume"":""10361.03823069"",""timestamp"":1496143565}",20170530202608
103,"{""last"":273968,""bid"":273965,""ask"":273966,""high"":276000,""low"":263200,""volume"":""10360.95271037"",""timestamp"":1496143576}",20170530202618
104,"{""last"":273966,""bid"":273965,""ask"":273968,""high"":276000,""low"":263200,""volume"":""10359.47765411"",""timestamp"":1496143586}",20170530202628
105,"{""last"":273966,""bid"":273965,""ask"":273968,""high"":276000,""low"":263200,""volume"":""10358.1630617"",""timestamp"":1496143595}",20170530202638
106,"{""last"":274222,""bid"":273993,""ask"":274203,""high"":276000,""low"":263200,""volume"":""10357.71696764"",""timestamp"":1496143605}",20170530202648
107,"{""last"":274383,""bid"":273978,""ask"":274222,""high"":276000,""low"":263200,""volume"":""10351.62322743"",""timestamp"":1496143615}",20170530202659
108,"{""last"":274379,""bid"":273966,""ask"":274379,""high"":276000,""low"":263200,""volume"":""10351.91884142"",""timestamp"":1496143624}",20170530202709
109,"{""last"":274214,""bid"":273983,""ask"":274050,""high"":276000,""low"":263200,""volume"":""10351.5010716"",""timestamp"":1496143634}",20170530202719
110,"{""last"":274063,""bid"":273981,""ask"":274050,""high"":276000,""low"":263200,""volume"":""10350.34198641"",""timestamp"":1496143644}",20170530202729
111,"{""last"":274063,""bid"":274079,""ask"":274100,""high"":276000,""low"":263200,""volume"":""10350.15900821"",""timestamp"":1496143658}",20170530202739
112,"{""last"":274113,""bid"":274079,""ask"":274113,""high"":276000,""low"":263200,""volume"":""10347.17033554"",""timestamp"":1496143665}",20170530202749
113,"{""last"":274113,""bid"":274112,""ask"":274113,""high"":276000,""low"":263200,""volume"":""10345.92125242"",""timestamp"":1496143677}",20170530202759
114,"{""last"":274112,""bid"":274112,""ask"":274113,""high"":276000,""low"":263200,""volume"":""10345.55383973"",""timestamp"":1496143687}",20170530202809
115,"{""last"":274160,""bid"":274113,""ask"":274146,""high"":276000,""low"":263200,""volume"":""10355.75962459"",""timestamp"":1496143696}",20170530202819
116,"{""last"":274159,""bid"":274113,""ask"":274144,""high"":276000,""low"":263200,""volume"":""10354.77202487"",""timestamp"":1496143704}",20170530202829
117,"{""last"":274144,""bid"":274113,""ask"":274159,""high"":276000,""low"":263200,""volume"":""10352.54273544"",""timestamp"":1496143715}",20170530202839
118,"{""last"":274159,""bid"":274109,""ask"":274125,""high"":276000,""low"":263200,""volume"":""10352.60246544"",""timestamp"":1496143725}",20170530202849
119,"{""last"":273956,""bid"":273957,""ask"":274177,""high"":276000,""low"":263200,""volume"":""10357.69657048"",""timestamp"":1496143735}",20170530202859
120,"{""last"":273959,""bid"":273972,""ask"":274134,""high"":276000,""low"":263200,""volume"":""10356.61695847"",""timestamp"":1496143744}",20170530202909
121,"{""last"":274027,""bid"":273972,""ask"":274029,""high"":276000,""low"":263200,""volume"":""10356.7282139"",""timestamp"":1496143755}",20170530202919
122,"{""last"":274014,""bid"":274014,""ask"":274027,""high"":276000,""low"":263200,""volume"":""10355.44292072"",""timestamp"":1496143766}",20170530202929
123,"{""last"":274027,""bid"":274014,""ask"":274027,""high"":276000,""low"":263200,""volume"":""10353.18157493"",""timestamp"":1496143775}",20170530202939
124,"{""last"":274027,""bid"":274014,""ask"":274027,""high"":276000,""low"":263200,""volume"":""10352.91950241"",""timestamp"":1496143787}",20170530202950
125,"{""last"":274027,""bid"":274015,""ask"":274027,""high"":276000,""low"":263200,""volume"":""10346.52995416"",""timestamp"":1496143794}",20170530203001
126,"{""last"":274027,""bid"":274015,""ask"":274027,""high"":276000,""low"":263200,""volume"":""10343.58593371"",""timestamp"":1496143808}",20170530203011
127,"{""last"":274027,""bid"":274015,""ask"":274026,""high"":276000,""low"":263200,""volume"":""10340.76113819"",""timestamp"":1496143819}",20170530203021
128,"{""last"":274027,""bid"":274038,""ask"":274208,""high"":276000,""low"":263200,""volume"":""10340.19693652"",""timestamp"":1496143830}",20170530203031
129,"{""last"":274040,""bid"":274040,""ask"":274208,""high"":276000,""low"":263200,""volume"":""10340.19886534"",""timestamp"":1496143838}",20170530203041
130,"{""last"":274040,""bid"":274038,""ask"":274195,""high"":276000,""low"":263200,""volume"":""10339.90844793"",""timestamp"":1496143850}",20170530203051
131,"{""last"":274039,""bid"":274052,""ask"":274208,""high"":276000,""low"":263200,""volume"":""10339.86223345"",""timestamp"":1496143859}",20170530203101
132,"{""last"":274052,""bid"":274039,""ask"":274133,""high"":276000,""low"":263200,""volume"":""10339.84212602"",""timestamp"":1496143864}",20170530203111
133,"{""last"":274001,""bid"":273958,""ask"":274024,""high"":276000,""low"":263200,""volume"":""10342.43191202"",""timestamp"":1496143874}",20170530203121
134,"{""last"":273939,""bid"":273940,""ask"":274117,""high"":276000,""low"":263200,""volume"":""10345.89644397"",""timestamp"":1496143885}",20170530203132
135,"{""last"":273936,""bid"":273928,""ask"":273935,""high"":276000,""low"":263200,""volume"":""10345.82381479"",""timestamp"":1496143896}",20170530203142
136,"{""last"":274116,""bid"":274022,""ask"":274102,""high"":276000,""low"":263200,""volume"":""10345.24621879"",""timestamp"":1496143905}",20170530203152
137,"{""last"":273920,""bid"":274000,""ask"":274021,""high"":276000,""low"":263200,""volume"":""10349.65721818"",""timestamp"":1496143915}",20170530203202
138,"{""last"":273850,""bid"":273920,""ask"":274102,""high"":276000,""low"":263200,""volume"":""10354.68061818"",""timestamp"":1496143924}",20170530203212
