id,json_body,trade_time_int,pair
107,"{""rate"":""262825.0""}",20170529123016,btc_jpy
108,"{""rate"":""262939.0""}",20170529123026,btc_jpy
109,"{""rate"":""262980.0""}",20170529123036,btc_jpy
110,"{""rate"":""263026.5""}",20170529123046,btc_jpy
111,"{""rate"":""262919.0""}",20170529123056,btc_jpy
112,"{""rate"":""262780.5""}",20170529123106,btc_jpy
113,"{""rate"":""262719.5""}",20170529123116,btc_jpy
114,"{""rate"":""262828.5""}",20170529123126,btc_jpy
115,"{""rate"":""262751.0""}",20170529123136,btc_jpy
116,"{""rate"":""262745.0""}",20170529123146,btc_jpy
117,"{""rate"":""262616.5""}",20170529123156,btc_jpy
118,"{""rate"":""262570.5""}",20170529123206,btc_jpy
119,"{""rate"":""262592.5""}",20170529123216,btc_jpy
120,"{""rate"":""262760.0""}",20170529123226,btc_jpy
121,"{""rate"":""262807.5""}",20170529123236,btc_jpy
122,"{""rate"":""262765.5""}",20170529123246,btc_jpy
123,"{""rate"":""263003.5""}",20170529123256,btc_jpy
124,"{""rate"":""262652.5""}",20170529123307,btc_jpy
125,"{""rate"":""262600.0""}",20170529123317,btc_jpy
126,"{""rate"":""262664.0""}",20170529123327,btc_jpy
127,"{""rate"":""262646.0""}",20170529123337,btc_jpy
128,"{""rate"":""263065.5""}",20170529123347,btc_jpy
129,"{""rate"":""262866.5""}",20170529123357,btc_jpy
130,"{""rate"":""263448.5""}",20170529123407,btc_jpy
131,"{""rate"":""263218.5""}",20170529123417,btc_jpy
132,"{""rate"":""263277.0""}",20170529123427,btc_jpy
133,"{""rate"":""263285.5""}",20170529123437,btc_jpy
134,"{""rate"":""263176.5""}",20170529123447,btc_jpy
135,"{""rate"":""263111.5""}",20170529123457,btc_jpy
136,"{""rate"":""263046.0""}",20170529123507,btc_jpy
137,"{""rate"":""262695.5""}",20170529123518,btc_jpy
138,"{""rate"":""262848.5""}",20170529123528,btc_jpy
139,"{""rate"":""262893.5""}",20170529123538,btc_jpy
140,"{""rate"":""262772.0""}",20170529123548,btc_jpy
141,"{""rate"":""262657.0""}",20170529123558,btc_jpy
142,"{""rate"":""262532.0""}",20170529123608,btc_jpy
143,"{""rate"":""262395.0""}",20170529123618,btc_jpy
144,"{""rate"":""262691.5""}",20170529123628,btc_jpy
145,"{""rate"":""262776.5""}",20170529123638,btc_jpy
146,"{""rate"":""262845.5""}",20170529123648,btc_jpy
147,"{""rate"":""263245.0""}",20170529123658,btc_jpy
148,"{""rate"":""262798.5""}",20170529123708,btc_jpy
149,"{""rate"":""263559.0""}",20170529123718,btc_jpy
150,"{""rate"":""263789.0""}",20170529123728,btc_jpy
151,"{""rate"":""263778.5""}",20170529123738,btc_jpy
152,"{""rate"":""263863.5""}",20170529123748,btc_jpy
153,"{""rate"":""262803.0""}",20170529123758,btc_jpy
